CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,23,Yogurt,優酪乳,10302303,Yogurt Chinese Style,優酪乳 中式
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,23,Yogurt,優酪乳,10302304,Yogurt Drink,冷藏養樂多
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,23,Yogurt,優酪乳,10302305,Other Yogurt/drink,其他冷藏乳酸飲料
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,24,Chilled Dairy Drink,冷藏乳制飲品,10302401,Dairy Drink Mainstrm,乳制飲品 主流
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,24,Chilled Dairy Drink,冷藏乳制飲品,10302402,Dairy Drink China,乳制飲品 中國
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,24,Chilled Dairy Drink,冷藏乳制飲品,10302403,Dairy Drink Taiwan,乳制飲品 台灣
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,24,Chilled Dairy Drink,冷藏乳制飲品,10302404,Dairy Drink Korea,乳制飲品 韓國
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,24,Chilled Dairy Drink,冷藏乳制飲品,10302405,Dairy Drink Japan,乳制飲品 日本
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,24,Chilled Dairy Drink,冷藏乳制飲品,10302406,Other Dairy Drink,其它乳制飲品
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,25,Chilled Plant Milk,冷藏植物奶,10302501,Chilled Soy Milk MS,冷藏豆漿豆奶 主流
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,25,Chilled Plant Milk,冷藏植物奶,10302502,Chilled Soy Milk OT,冷藏豆漿豆奶 其他
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,25,Chilled Plant Milk,冷藏植物奶,10302503,Chilled Almond Milk,冷藏杏仁奶
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,25,Chilled Plant Milk,冷藏植物奶,10302504,Chilled Oat Milk,冷藏燕麥奶
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,25,Chilled Plant Milk,冷藏植物奶,10302505,Other Chill plt milk,冷藏其他植物奶
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,51,Egg Regular,普通鷄蛋,10305101,Egg Regular,普通鷄蛋
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,52,Egg Ranch Free,走地鷄鷄蛋,10305201,Egg Ranch Free,走地鷄鷄蛋
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,53,Processed Egg,加工蛋類,10305301,Salted Egg,鹹鴨蛋
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,53,Processed Egg,加工蛋類,10305302,Preserved Egg,皮蛋
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,54,Organic Egg,有機蛋類,10305401,Organic Egg,有機蛋類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,55,Other Egg,其他蛋類,10305501,Other Egg,其他蛋類
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Eggs/Milk,蛋/奶,蛋/奶,56,Cooked marinated Eeg,卤蛋类,10305601,Cooked marinated Eeg,卤蛋类
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Soybean/Tofu,豆製品,豆制品,33,Fresh & Dried Tofu,豆腐/豆干,10303301,Chilled Tofu,冷藏豆腐
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Soybean/Tofu,豆製品,豆制品,33,Fresh & Dried Tofu,豆腐/豆干,10303302,Chilled Dean Curd,冷藏豆乾
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Soybean/Tofu,豆製品,豆制品,26,Frozen Soy Product,冷凍豆製品,10402601,Frz Fried Soy Prod,冷凍油炸豆製品
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Soybean/Tofu,豆製品,豆制品,26,Frozen Soy Product,冷凍豆製品,10402602,Frz Non-Fried Soy Pd,冷凍非油炸豆製品
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Soybean/Tofu,豆製品,豆制品,26,Frozen Soy Product,冷凍豆製品,10402603,Frz Plant Based Meat,冷凍素肉
Frozen/Deli/Dairy,冷凍/冷藏/蛋奶,冷冻/冷藏/蛋奶,Soybean/Tofu,豆製品,豆制品,26,Frozen Soy Product,冷凍豆製品,10402604,Oth Frz Soy Product,其他冷凍豆製品
