LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Fruit,水果,水果,Other Fruit,其他水果,其他水果,41,Fresh Fruit Cup,鮮果切,30204102,Fresh Fruit Cup Mix,鮮果切拼盤
Fruit,水果,水果,Other Fruit,其他水果,其他水果,39,Mixed Fruit Gift Box,果籃類,30203901,Mixed Fruit Gift Box,果籃類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102101,Fr Cut Boneless pork,鮮切豬肉
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102102,Fresh Cut pork Belly,鮮切割豬肉類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102103,Fresh Cut pork Rib,鮮切割豬排骨類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102104,Fresh Cut pork Bones,鮮切割豬筒骨/湯骨類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102105,Fresh Ground pork ,鮮豬肉餡
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102106,Fresh Slice Pork ,鮮豬肉切片類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102107,Mat. Half carcass,原料鮮半片豬
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102108,Material Pork Rear,原料鮮豬後段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102109,Material Pork Middle,原料鮮豬中段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102110,Material Pork Front,原料鮮豬前段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102111,Fr Ct Blk pork Belly,黑豚鮮切割五花類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102112,Fr Cut Blk pork Rib,黑豚鮮切割排骨類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102113,Fr Cut Blk pork Bone,黑豚鮮切割豬筒骨/湯骨類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102114,Fr Ground Blk Pork,黑豚鮮豬肉餡
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102115,Fr Slice Black Pork,黑豚鮮豬肉切片類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102116,Fr Cut Black pork ,黑豚鮮切黑豬肉
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102117,Mat. Black Pork Rear,原料鲜黑豚鮮後段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102118,Mat. Blk Pork Middle,原料鲜黑豚鮮中段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102119,Mat. Blk Pork Front,原料鲜黑豚鮮前段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102120,Frz Grnd Black pork,黑豚凍豬肉餡
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102121,Frz Slice Black Pork,黑豚凍豬肉切片類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102122,Fresh marinate Pork,鮮腌製豬肉
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102123,Fresh Pork Organs,鮮豬内臟類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102124,Frozen Pork Belly,凍豬肉類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102125,Frozen Pork Rib,凍豬排骨類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102126,Frozen Pork Bones,凍豬筒骨/湯骨類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102127,Frozen Ground Pork ,凍豬肉餡
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102128,Frozen slice Pork ,凍豬肉切片類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102129,Frozen Pork Organs,凍豬内臟類
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102130,Frz Mat. Pork Rear,原料凍豬後段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102131,Frz Mat Pork Middle,原料凍豬中段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102132,Frz Mat. Pork Front,原料凍豬前段
Meat,肉類,肉类,Pork,豬,猪,21,Pork,豬肉類,20102199,Meat dept. key,0
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102201,Fresh boneless Beef,鮮切割牛肉類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102202,Fresh bone in beef,鮮切帶骨牛肉類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102203,Fresh Beef bone,鮮切牛骨類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102204,Fresh Beef Steak,鮮切牛排類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102205,Fr Steak USDA Choice,鮮切牛排類USDA Choice
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102206,Fr Steak USDA Prime,鮮切牛排類USDA Prime
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102207,Material Fresh Beef,原料鮮部位牛肉
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102208,Fresh Beef Steak CAB,鮮切黑毛牛牛排類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102209,Fr Beef Steak Wagyu,鮮切和牛牛排類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102210,Fr Steak JP Wagyu,鮮切日本和牛牛排類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102211,Fresh Slice Beef,鮮牛肉切片類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102212,Fr Slice Beef Choice,鮮牛肉切片類USDA Choice
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102213,Fr Slice Beef Prime,鮮牛肉切片類USDA Prime
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102214,Fresh Slice Beef CAB,鮮黑毛牛牛肉切片類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102215,Fr Slice Beef Wagyu,鮮和牛牛肉切片類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102216,Fr Slice Beef JP Wag,鮮日本和牛牛肉切片類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102217,Mat Fresh Wagyu Beef,原料鮮部位和牛肉
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102218,Fresh Oxtail,鮮切牛尾骨
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102219,Fresh Ground Beef,鮮牛肉餡
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102220,Fr Grnd Beef Choice,鮮牛肉餡USDA Choice
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102221,Fr Ground Beef Wagyu,鮮和牛牛肉餡
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102222,Fresh marinate Beef,鮮腌製牛肉
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102223,Fresh Beef Organs,鮮牛肉臟類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102224,Frozen Oxtail,凍牛尾骨
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102225,Frozen Ground Beef,凍牛肉餡
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102226,Frozen Slice Beef,凍牛肉切片類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102227,Frz Slce Beef Choice,凍牛肉切片類USDA Choice
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102228,Frz Slice Beef Prime,凍牛肉切片類USDA Prime
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102229,Frz Slice Beef CAB,凍黑毛牛牛肉切片類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102230,Frz Slice Beef Wagyu,凍和牛牛肉切片類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102231,Frozen Boneless Beef,凍切割牛肉類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102232,FrozenBone in Beef,凍切牛帶骨牛肉類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102233,Frozen Beef Bone,凍切牛骨類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102234,Frozen beef Organs,凍牛肉臟類
Meat,肉類,肉类,Beef,牛,牛,22,Beef,牛肉類,20102235,Material Frozen Beef,原料冻部位牛肉
Meat,肉類,肉类,Goat/Lamb,羊,羊,24,lamb,羊肉類,20102401,Fresh lamb,鮮羊肉類
Meat,肉類,肉类,Goat/Lamb,羊,羊,24,lamb,羊肉類,20102402,frozen lamb,凍羊肉類
Meat,肉類,肉类,Goat/Lamb,羊,羊,24,lamb,羊肉類,20102403,Fresh Slice lamb,鮮切羊肉
Meat,肉類,肉类,Goat/Lamb,羊,羊,24,lamb,羊肉類,20102404,Frozen slice lamb,凍切羊肉
Meat,肉類,肉类,Goat/Lamb,羊,羊,24,lamb,羊肉類,20102405,Goat,草羊類
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102301,Fresh Whole Chicken,鮮整鷄類
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102302,Fr Bnless CHKN meat,鮮鷄肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102303,Fr Bone in CHKN part,鮮帶骨雞肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102304,Fresh Chicken Organs,鮮雞内臟
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102305,Fr Organic Chicken,鮮有機整雞
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102306,Fr Org Boneless CHKN,鮮有機鷄肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102307,Fr Org Bone in CHKN,鮮有機帶骨鷄肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102308,Frozen Whole Chicken,凍整鷄類
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102309,Frz Organic Chicken,凍有機鷄類
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102310,Frz Bnless CHKN meat,凍鷄肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102311,Frz Bone in CHKN pt,凍帶骨雞肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102312,Frz Chicken Organs,凍雞内臟
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102313,Fresh Whole Duck,鮮整鴨類
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102314,Fr Boneless Duck,鮮鴨肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102315,Fr Bone in Duck part,鮮帶骨鴨肉
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102316,Fr Duck Cuts&Organs,鮮鴨内臟
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102317,Frozen Whole Duck,凍整鴨類
Meat,肉類,肉类,Poultry,家禽,家禽,23,Poultry,家禽類,20102318,Frz Boneless Duck ,凍鴨肉
