CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Hot Deli,熟食,熟食,Dim Sum,點心,点心,22,Dim Sum,點心類,60102205,Congee/Noodle/Soup,粥/麵/湯
Hot Deli,熟食,熟食,Others,其他,其他,33,Cold Marinated Meat,冷滷葷菜,60103301,Cold Marinated Pork,冷鹵豬肉類
Hot Deli,熟食,熟食,Others,其他,其他,33,Cold Marinated Meat,冷滷葷菜,60103302,Cold Marinated Beef,冷鹵牛肉類
Hot Deli,熟食,熟食,Others,其他,其他,33,Cold Marinated Meat,冷滷葷菜,60103303,Cold Mrntd Chicken,冷鹵鷄肉類
Hot Deli,熟食,熟食,Others,其他,其他,33,Cold Marinated Meat,冷滷葷菜,60103304,Cold Mrntd Seafood,冷鹵鱼类/海鲜
Hot Deli,熟食,熟食,Others,其他,其他,33,Cold Marinated Meat,冷滷葷菜,60103305,Cold Marinated Combo,冷鹵拼盘
Hot Deli,熟食,熟食,Others,其他,其他,33,Cold Marinated Meat,冷滷葷菜,60103306,Cold Marinated Other,其他冷鹵
Hot Deli,熟食,熟食,Others,其他,其他,34,Cold Entrée,冷吃小菜,60103401,Cold Chinese Entrée,小菜中式
Hot Deli,熟食,熟食,Others,其他,其他,34,Cold Entrée,冷吃小菜,60103402,Cold Se Entrée,小菜東南亞 
Hot Deli,熟食,熟食,Others,其他,其他,34,Cold Entrée,冷吃小菜,60103403,Other Cold Entrée,其他小菜
Hot Deli,熟食,熟食,Others,其他,其他,39,Cooler Steam Buns,冷藏面点类,60103901,Meat Buns,肉包
Hot Deli,熟食,熟食,Others,其他,其他,39,Cooler Steam Buns,冷藏面点类,60103902,Vegetable Buns,素包
Hot Deli,熟食,熟食,Others,其他,其他,39,Cooler Steam Buns,冷藏面点类,60103903,Sweet Buns,甜包
