CURRENT 現有舊模板,,,CURRENT 現有舊模板,,,新 MCH,,,,,
LV1 English,LV1 繁中,LV1 簡中,LV2 English,LV2 繁中,LV2 簡中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605301,Canned Corn,罐頭玉米
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605302,Canned Bean,罐頭豆類
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605303,Canned Bamboo Shoot,罐頭筍
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Vegetarian,蔬菜類/齋,蔬菜类/斋,53 ,Canned Vegetable,蔬菜罐頭,10605311,Other Canned Vege,其他蔬菜罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605401,Canned Pineapple,罐頭鳳梨
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605402,Canned Coconut,罐頭椰子
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605403,Canned Lychee,罐頭荔枝
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605404,Canned Orange,罐頭橘子
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Coconut Milk/Fruit,椰奶/水果,椰奶/水果,54 ,Canned Fruit,水果罐頭,10605411,Other Canned Fruit,其他水果罐頭
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,32 ,Sauce,調味醬料,10603216,Fermented Bean Curd,豆腐乳
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605101,Pickle Mustard Tuber,榨菜
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605102,Pickled Radish,蘿蔔丁
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605103,Pickled Cucumber,醃黃瓜
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605104,Canned Gluten,罐頭麵筋
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605111,Oth Asia PickledVege,其他亞洲醃漬蔬菜
Canned/Preserved,罐頭/醃製品,罐头/腌制品,Preserved & Fermented,醬菜/腐乳,酱菜/腐乳,51 ,Pickled Vegetable,醬菜,10605121,Western Pickled Vege,西式醃漬蔬菜
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603101,Soy/Ssn Sauce Ch Brd,醬油/調味汁中系
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603102,Soy/Ssn Sauce Tw Brd,醬油/調味汁台系
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603103,Soy/Ssn Sauce Jp Brd,醬油/調味汁日系
Condiments,調料,调料,Soy Sauce,醬油,酱油,31 ,Liquid Sauce,液體調味料,10603111,Other Soy Sauce,其他醬油
Condiments,調料,调料,Vinegar/Cooking Wine,醋/料酒,醋/料酒,31 ,Liquid Sauce,液體調味料,10603121,Vinegar,醋
Condiments,調料,调料,Vinegar/Cooking Wine,醋/料酒,醋/料酒,31 ,Liquid Sauce,液體調味料,10603131,Cooking Wine,料酒
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602401,Bean Oil,大豆油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602402,Peanut Oil,花生油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602403,Corn Oil,玉米油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602404,Canola Oil,菜籽油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602405,Tea Oil,茶油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602406,Sunfiower Oil,葵花籽油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602407,Oliver Oil,橄欖油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602411,Mixed Oil,混合油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,24 ,Cooking Oil,食用油,10602421,Other Oil,其它油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,31 ,Liquid Sauce,液體調味料,10603141,Sesame Oil,芝麻油
Condiments,調料,调料,Cooking Oil,烹飪用油/麻油,烹饪用油/麻油,31 ,Liquid Sauce,液體調味料,10603151,Other Sauce Oil,其它調味油
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603201,Oyster/Hoisin Sauce,蠔油/海鮮醬
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603212,Garlic Paste,蒜蓉醬
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603217,Mixed Sauce Paste,混合調味醬
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603221,Sesame Paste,芝麻醬
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603222,Peanut Paste,花生醬
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603223,Sasha Jam,沙茶醬
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603231,BBQ Paste Kr Brand,燒烤醬韓系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603232,BBQ Paste Jp Brand,燒烤醬日系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603239,BBQ Paste Other,燒烤醬其他
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,32 ,Sauce,調味醬料,10603271,Other Sauce,其他調味醬料
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,33 ,Southeast Asia Sauce,東南亞調味料,10603301,Liquid Sauce Vn Brd,液體調味料越系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,33 ,Southeast Asia Sauce,東南亞調味料,10603302,Sauce Vietnam Brand,調味醬料越系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,33 ,Southeast Asia Sauce,東南亞調味料,10603311,Liquid Sauce Fl Brd,液體調味料菲系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,33 ,Southeast Asia Sauce,東南亞調味料,10603312,Sauce Filipino Brand,調味醬料菲系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,33 ,Southeast Asia Sauce,東南亞調味料,10603321,Liquid Sauce Th Brd,液體調味料泰系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,33 ,Southeast Asia Sauce,東南亞調味料,10603322,Sauce Thailand Brand,調味醬料泰系
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,33 ,Southeast Asia Sauce,東南亞調味料,10603331,Other SE Asian Sauce,其他東南亞調味料
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,34 ,Western Style Sauce,西式醬料,10603421,Pasta Sauce,義大利面醬
Condiments,調料,调料,Seasoning/Oyster Sauces,調味醬/蠔油,调味酱/蚝油,34 ,Western Style Sauce,西式醬料,10603431,Oth Wst Style Sauce,其他西式醬料
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,32 ,Sauce,調味醬料,10603251,Coconut Milk/Powder,椰奶/椰粉
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,35 ,"Salt, Sugar & MSG",鹽/糖/味精,10603531,Chicken Powder,鷄精
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,35 ,"Salt, Sugar & MSG",鹽/糖/味精,10603532,MSG,味精
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,35 ,"Salt, Sugar & MSG",鹽/糖/味精,10603541,Other Seasong Powder,其他調味粉
Condiments,調料,调料,Powder/Spices,調料粉/香料,调料粉/香料,36 ,Spice,香辛料,10603601,Dry Chili,辣椒粉/乾辣椒
